,text,book,TTR,RTTR,CTTR,LR-MSTTR,MSTTR,MTLD,HDD
0,iliad,1,44.83,30.14,21.31,0.871,0.3383,18.1617,0.5222
1,iliad,2,46.03,35.75,25.28,0.8525,0.3421,18.3847,0.5257
2,iliad,3,51.95,29.61,20.94,0.872,0.3381,18.3005,0.5223
3,iliad,4,51.82,32.04,22.66,0.8758,0.3394,18.4677,0.525
4,iliad,5,44.71,35.89,25.37,0.8809,0.344,18.5196,0.5296
5,iliad,6,51.29,31.43,22.22,0.8794,0.3387,18.4188,0.5238
6,iliad,7,49.35,28.76,20.34,0.8708,0.3391,18.4263,0.523
7,iliad,8,49.85,31.53,22.29,0.8736,0.3404,18.5953,0.5249
8,iliad,9,45.98,32.82,23.21,0.8745,0.334,18.2184,0.5207
9,iliad,10,47.02,30.34,21.46,0.8869,0.3372,18.3048,0.5243
10,iliad,11,47.59,36.93,26.11,0.8826,0.3409,18.4466,0.5262
11,iliad,12,52.95,30.42,21.51,0.8804,0.341,18.5682,0.5255
12,iliad,13,46.66,35.85,25.35,0.883,0.3407,18.4648,0.526
13,iliad,14,52.38,31.96,22.6,0.8869,0.3408,18.2281,0.5244
14,iliad,15,47.18,34.44,24.35,0.8825,0.3401,18.3506,0.525
15,iliad,16,46.9,36.62,25.89,0.8768,0.338,18.6221,0.526
16,iliad,17,44.2,32.56,23.02,0.8782,0.3416,18.7278,0.5251
17,iliad,18,50.58,33.6,23.76,0.8666,0.3311,18.2334,0.5195
18,iliad,19,53.27,29.4,20.79,0.8937,0.3349,18.0148,0.5201
19,iliad,20,50.8,30.38,21.48,0.8742,0.3405,18.5348,0.5267
20,iliad,21,49.05,32.63,23.07,0.8789,0.3382,18.3337,0.5228
21,iliad,22,50.16,30.88,21.83,0.8773,0.3341,17.9982,0.5207
22,iliad,23,45.06,35.91,25.39,0.8714,0.3355,18.2721,0.5215
23,iliad,24,44.0,34.05,24.08,0.8808,0.3376,18.2011,0.5211
