,meter,full_count,Full_percent
0,DDSDDA,1203,0.04329051063370398
1,DSDSDA,1797,0.06466587498650544
2,SSSDDA,372,0.01338659181690597
3,SSDDDA,2159,0.07769261218467739
4,SDDDDA,3595,0.1293677354348843
5,SSDSDA,1026,0.03692108388211163
6,DDSSDA,385,0.013854402821260211
7,DDDDDA,5311,0.1911187880096441
8,DSSDSA,61,0.0021951131742775918
9,DSDDSA,214,0.007700888840908273
10,DSSDDA,927,0.03335852315664471
11,DDDSDA,2369,0.08524955917809206
12,SDDSDA,1698,0.061103314261038544
13,DSDDDA,3985,0.14340206556551152
14,DDDDSA,295,0.010615711252653927
15,DSSSDA,206,0.007413005145921048
16,SDSDDA,844,0.030371729821152254
17,SSSSDA,90,0.003238691568606283
18,SDSSDA,216,0.00777285976465508
19,SDDDSA,261,0.009392205548958222
20,NNNNNN,199,0.007161106912807226
21,DDDSSA,107,0.0038504444204541365
22,DDSDSA,60,0.002159127712404189
23,DDSSSA,16,0.0005757673899744503
24,SDSDSA,36,0.0012954766274425131
25,SDDSSA,69,0.002482996869264817
26,DSDSSA,75,0.002698909640505236
27,SSDDSA,140,0.00503796466227644
28,SSDSSA,34,0.001223505703695707
29,SSSDSA,15,0.0005397819281010472
30,DSSSSA,11,0.0003958400806074346
31,SDSSSA,8,0.00028788369498722517
32,SSSSSA,5,0.00017992730936701573
